"順位", "前回", "前々", "名前", "ポイント", "一押し", "コメント"
"30", "28", "23", "霊知の太陽信仰　～ Nuclear Fusion", "2246", "211", "165"
"31", "30", "37", "おてんば恋娘", "2126", "245", "160"
"32", "33", "25", "天空のグリニッジ", "2078", "175", "162"
"33", "35", "36", "人形裁判", "2050", "172", "131"
"34", "32", "32", "平安のエイリアン", "1949", "164", "154"
"35", "38", "53", "妖魔夜行", "1935", "270", "142"
"36", "46", "48", "狂気の瞳　～ Invisible Full Moon", "1915", "150", "123"
"37", "34", "41", "六十年目の東方裁判　～ Fate of Sixty Years", "1913", "170", "143"
"38", "37", "38", "遠野幻想物語", "1859", "216", "157"
"39", "42", "33", "春の湊に", "1855", "165", "164"
"40", "40", "34", "リバースイデオロギー", "1812", "159", "153"
"41", "42", "49", "運命のダークサイド", "1785", "143", "130"
"42", "39", "30", "始原のビート　～ Pristine Beat", "1752", "140", "188"
"43", "44", "35", "妖怪の山　～ Mysterious Mountain", "1662", "168", "145"
"44", "36", "27", "聖徳伝説　～ True Administrator", "1657", "154", "145"
"45", "41", "43", "芥川龍之介の河童　～ Candid Friend", "1654", "129", "126"
"46", "45", "46", "明治十七年の上海アリス", "1638", "174", "117"
"47", "51", "39", "明日ハレの日、ケの昨日", "1626", "130", "148"
"48", "50", "40", "二色蓮花蝶", "1616", "163", "223"
"49", "55", "57", "広有射怪鳥事　～ Till When?", "1597", "164", "116"
"50", "59", "－", "パンデモニックプラネット", "1539", "113", "169"
"51", "49", "42", "廃獄ララバイ", "1526", "135", "145"
"52", "52", "56", "ラクトガール　～ 少女密室", "1491", "162", "89"
"53", "48", "44", "古きユアンシェン", "1483", "109", "131"
"54", "54", "64", "もう歌しか聞こえない", "1460", "101", "89"
"55", "56", "51", "緑眼のジェラシー", "1376", "161", "96"
"56", "63", "65", "東方妖々夢　～ Ancient Temple", "1361", "162", "106"
"56", "47", "45", "神さびた古戦場　～ Suwa Foughten Field", "1361", "106", "125"
"58", "60", "71", "メイドと血の懐中時計", "1354", "137", "89"
"59", "57", "54", "有頂天変　～ Wonderful Heaven", "1339", "124", "82"
"60", "64", "58", "ボーダーオブライフ", "1329", "113", "142"
"61", "58", "62", "少女が見た日本の原風景", "1272", "127", "105"
"62", "69", "66", "稲田姫様に叱られるから", "1261", "81", "103"
"63", "65", "61", "東の国の眠らない夜", "1251", "98", "88"
"64", "62", "59", "プレインエイジア", "1236", "110", "73"
"65", "61", "47", "ラストオカルティズム　～ 現し世の秘術師", "1214", "86", "134"
"66", "70", "71", "シンデレラケージ　～ Kagome-Kagome", "1188", "88", "100"
"67", "71", "50", "亡失のエモーション", "1177", "81", "83"
"68", "53", "－", "永遠の春夢", "1142", "89", "138"
"69", "67", "52", "Demystify Feast", "1116", "108", "116"
"70", "66", "73", "厄神様の通り道　～ Dark Road", "1110", "82", "91"
"71", "72", "68", "紅楼　～ Eastern Dream...", "1075", "85", "90"
"72", "74", "－", "故郷の星が映る海", "1034", "64", "151"
"73", "82", "88", "万年置き傘にご注意を", "1008", "85", "95"
"73", "84", "70", "不思議の国のアリス", "1008", "109", "113"
"75", "87", "85", "ブクレシュティの人形師", "992", "111", "82"
"76", "75", "78", "少女幻葬　～ Necro-Fantasy", "988", "95", "80"
"77", "76", "60", "無間の鐘　～ Infinite Nightmare", "959", "67", "105"
"78", "88", "91", "ヴォヤージュ1969", "957", "64", "82"
"79", "68", "－", "遥か38万キロのボヤージュ", "953", "60", "118"
"80", "85", "84", "夢消失　～ Lost Dream", "925", "78", "108"
"81", "79", "81", "懐かしき東方の血　～ Old World", "923", "63", "76"
"82", "73", "55", "少女秘封倶楽部", "918", "105", "104"
"83", "77", "74", "童祭　～ Innocent Treasures", "907", "94", "104"
"84", "90", "80", "夜が降りてくる", "884", "61", "91"
"85", "81", "67", "ヒロシゲ36号　～ Neo Super-Express", "876", "91", "89"
"86", "80", "69", "the Grimoire of Alice", "870", "51", "70"
"87", "92", "89", "アルティメットトゥルース", "847", "76", "79"
"88", "86", "77", "死霊の夜桜", "838", "78", "112"
"89", "78", "79", "リーインカーネイション", "815", "57", "76"
"90", "93", "108", "ほおずきみたいに紅い魂", "813", "65", "56"
"90", "97", "96", "ルーネイトエルフ", "813", "96", "48"
"92", "83", "81", "東方緋想天", "799", "67", "74"
"93", "96", "86", "天空の花の都", "790", "71", "94"
"94", "105", "83", "幻想浄瑠璃", "783", "64", "99"
"95", "95", "75", "不思議なお祓い棒", "781", "65", "126"
"96", "89", "101", "Bad Apple!!", "758", "54", "69"
"97", "99", "96", "彼岸帰航　～ Riverside View", "755", "46", "58"
"98", "103", "－", "九月のパンプキン", "749", "32", "81"
"99", "107", "103", "エクステンドアッシュ　～ 蓬莱人", "745", "42", "61"
"100", "91", "90", "佐渡の二ッ岩", "731", "45", "65"
"101", "103", "98", "無何有の郷　～ Deep Mountain", "717", "60", "67"
"102", "111", "105", "レトロスペクティブ京都", "711", "40", "49"
"103", "108", "110", "死体旅行　～ Be of good cheer!", "706", "48", "56"
"104", "100", "76", "満月の竹林", "705", "39", "87"
"105", "140", "－", "兎は舞い降りた", "697", "38", "101"
"106", "110", "94", "今昔幻想郷　～ Flower Land", "696", "82", "55"
"107", "93", "－", "逆転するホイールオブフォーチュン", "684", "46", "44"
"108", "101", "92", "幽霊客船の時空を越えた旅", "673", "56", "69"
"109", "－", "－", "他愛も無い二人の博物誌", "655", "59", "101"
"110", "106", "109", "華のさかづき大江山", "648", "47", "53"
"111", "98", "93", "虎柄の毘沙門天", "642", "34", "71"
"112", "111", "99", "蓬莱伝説", "630", "101", "101"
"113", "109", "100", "東方萃夢想", "629", "61", "43"
"114", "114", "106", "幼心地の有頂天", "628", "54", "69"
"115", "120", "125", "ヴワル魔法図書館", "622", "51", "45"
"116", "117", "112", "星の器　～ Casket of Star", "620", "31", "42"
"117", "113", "－", "凍り付いた永遠の都", "619", "48", "78"
"118", "115", "86", "永遠の三日天下", "611", "46", "74"
"119", "116", "95", "夜空のユーフォーロマンス", "610", "50", "69"
"120", "137", "116", "大神神話伝", "585", "50", "83"
"121", "127", "138", "さくらさくら　～ Japanize Dream...", "578", "32", "42"
"122", "119", "102", "御伽の国の鬼が島　～ Missing Power", "572", "41", "53"
"123", "128", "123", "ヴォヤージュ1970", "570", "35", "53"
"124", "124", "119", "小さな小さな賢将", "560", "48", "45"
"125", "125", "118", "いざ、倒れ逝くその時まで", "557", "28", "57"
"126", "118", "107", "Strawberry Crisis!!", "541", "50", "52"
"127", "130", "112", "ハートフェルトファンシー", "535", "32", "59"
"128", "122", "131", "萃夢想", "531", "45", "41"
"129", "129", "159", "赤より紅い夢", "528", "56", "52"
"130", "122", "129", "旧地獄街道を行く", "522", "30", "41"
"131", "131", "104", "桜花之恋塚", "506", "80", "67"
"132", "145", "124", "永夜の報い　～ Imperishable Night", "503", "39", "54"
"133", "139", "120", "オリエンタルダークフライト", "487", "36", "64"
"134", "121", "111", "柳の下のデュラハン", "484", "21", "43"
"135", "126", "114", "幽夢　～ Inanimate Dream", "480", "38", "45"
"136", "134", "121", "クリスタライズシルバー", "479", "45", "39"
"137", "102", "63", "華狭間のバトルフィールド", "467", "20", "56"
"138", "135", "126", "春色小径　～ Colorful Path", "463", "40", "44"
"139", "133", "121", "東方妖怪小町", "462", "26", "52"
"140", "－", "－", "アンノウンX", "457", "15", "47"
"141", "144", "128", "キャプテン・ムラサ", "453", "28", "38"
"142", "136", "126", "魔女達の舞踏会", "450", "31", "35"
"142", "132", "115", "法界の火", "450", "24", "48"
"144", "143", "137", "ぼくらの非想天則", "443", "10", "38"
"145", "141", "134", "ティアオイエツォン(withered leaf)", "434", "38", "41"
"146", "152", "135", "永遠の巫女", "424", "40", "63"
"147", "166", "174", "ツェペシュの幼き末裔", "407", "26", "34"
"147", "146", "117", "車椅子の未来宇宙", "407", "40", "39"
"149", "－", "－", "判読眼のビブロフィリア", "399", "37", "75"
"150", "163", "135", "天衣無縫", "395", "34", "30"
"151", "162", "146", "魔界地方都市エソテリア", "394", "29", "44"
"152", "149", "142", "リジッドパラダイス", "389", "26", "26"
"153", "138", "141", "妖精大戦争　～ Fairy Wars", "388", "22", "36"
"154", "155", "131", "妖々跋扈　～ Who done it!", "387", "27", "22"
"155", "148", "133", "妖々跋扈", "382", "36", "37"
"156", "147", "154", "緋想天", "381", "35", "33"
"157", "156", "154", "蠢々秋月　～ Mooned Insect", "374", "51", "25"
"158", "154", "140", "黒い海に紅く　～ Legendary Fish", "371", "29", "45"
"159", "151", "144", "真夜中のフェアリーダンス", "370", "30", "42"
"159", "142", "－", "見た事も無い悪夢の世界", "370", "30", "63"
"161", "153", "143", "悠久の蒸気機関", "357", "22", "37"
"162", "160", "139", "衛星カフェテラス", "354", "28", "37"
"163", "158", "130", "空中に沈む輝針城", "353", "22", "38"
"164", "157", "152", "夜雀の歌声　～ Night Bird", "347", "26", "29"
"165", "161", "147", "孤独なウェアウルフ", "323", "17", "19"
"166", "174", "152", "ミストレイク", "322", "17", "33"
"167", "178", "149", "Romantic Children", "318", "27", "41"
"168", "169", "192", "妖々夢　～ Snow or Cherry Petal", "315", "25", "26"
"169", "164", "149", "御柱の墓場　～ Grave of Being", "304", "16", "48"
"169", "171", "158", "渡る者の途絶えた橋", "304", "22", "40"
"171", "168", "164", "地の色は黄色", "303", "18", "39"
"172", "181", "178", "秘境のマーメイド", "299", "19", "40"
"173", "164", "148", "アリスマエステラ", "293", "22", "40"
"174", "185", "171", "君はあの影を見たか", "292", "15", "36"
"175", "167", "161", "神話幻想　～ Infinite Being", "291", "20", "31"
"176", "175", "167", "業火マントル", "289", "13", "25"
"177", "170", "162", "魔法少女十字軍", "286", "15", "21"
"178", "178", "149", "素敵な墓場で暮しましょ", "284", "16", "31"
"179", "176", "162", "人恋し神様　～ Romantic Fall", "278", "22", "29"
"180", "173", "174", "お宇佐さまの素い幡", "269", "13", "21"
"181", "150", "－", "宇宙を飛ぶ不思議な巫女", "267", "15", "40"
"182", "192", "169", "夢殿大祀廟", "265", "28", "41"
"183", "180", "170", "東方妖恋談", "264", "11", "28"
"184", "199", "194", "かわいい悪魔　～ Innocence", "257", "26", "31"
"185", "181", "144", "G Free", "256", "21", "17"
"186", "177", "157", "時代親父とハイカラ少女", "254", "10", "18"
"186", "184", "176", "エニグマティクドール", "254", "29", "50"
"188", "189", "179", "暗闇の風穴", "252", "28", "43"
"189", "186", "167", "イザナギオブジェクト", "247", "22", "26"
"190", "193", "193", "サニーミルクの紅霧異変", "245", "9", "37"
"191", "187", "182", "魔法使いの憂鬱", "243", "22", "41"
"192", "172", "－", "忘れがたき、よすがの緑", "233", "14", "45"
"193", "－", "－", "シュレディンガーの化猫", "232", "7", "27"
"194", "197", "184", "月面ツアーへようこそ", "228", "10", "24"
"195", "194", "185", "幻視の夜　～ Ghostly Eyes", "227", "21", "21"
"196", "188", "187", "いたずらに命をかけて", "223", "7", "16"
"197", "190", "181", "魔術師メリー", "215", "18", "28"
"198", "183", "160", "月の妖鳥、化猫の幻", "210", "13", "25"
"199", "195", "201", "封じられた妖怪　～ Lost Place", "207", "19", "22"
"200", "200", "197", "眠れる恐怖　～ Sleeping Terror", "203", "14", "14"
"201", "209", "199", "大空魔術　～ Magical Astronomy", "201", "12", "12"
"202", "191", "165", "幻想郷の二ッ岩", "200", "12", "20"
"203", "214", "210", "Complete Darkness", "197", "9", "28"
"204", "198", "177", "妖怪裏参道", "194", "2", "33"
"205", "207", "188", "ポイズンボディ　～ Forsaken Doll", "193", "10", "19"
"205", "205", "198", "花は幻想のままに", "193", "16", "19"
"205", "230", "239", "竹林インフレイム", "193", "6", "28"
"208", "－", "－", "バー・オールドアダム", "192", "13", "29"
"209", "208", "186", "キュアリアス上海古牌", "188", "22", "21"
"210", "202", "172", "ルーズレイン", "187", "8", "23"
"211", "205", "188", "あなたの町の怪事件", "185", "10", "21"
"212", "212", "207", "Witch of Love Potion", "183", "24", "40"
"213", "203", "165", "ロマンチック逃飛行", "178", "2", "22"
"213", "196", "183", "未知の花 魅知の旅", "178", "5", "21"
"215", "211", "190", "プラスチックマインド", "174", "6", "25"
"216", "204", "179", "心綺楼囃子", "173", "12", "20"
"217", "201", "172", "不可能弾幕には反則を", "172", "8", "20"
"218", "213", "196", "Tabula rasa　～ 空白少女", "169", "14", "25"
"218", "－", "－", "二日酔いの同床異夢", "169", "12", "36"
"220", "217", "200", "53ミニッツの青い海", "157", "19", "12"
"221", "227", "195", "アガルタの風", "153", "14", "24"
"222", "226", "226", "紅より儚い永遠", "151", "10", "11"
"222", "225", "202", "仰空", "151", "12", "24"
"224", "209", "208", "年中夢中の好奇心", "150", "4", "16"
"225", "223", "236", "永夜抄　～ Eastern Night.", "149", "13", "6"
"225", "214", "190", "衛星トリフネ", "149", "4", "13"
"227", "220", "219", "夜のデンデラ野を逝く", "147", "8", "25"
"228", "218", "212", "最も澄みわたる空と海", "144", "10", "26"
"229", "228", "213", "日本中の不思議を集めて", "143", "14", "28"
"230", "221", "215", "可愛い大戦争のリフレーン", "141", "6", "17"
"230", "232", "221", "呑んべぇのレムリア", "141", "7", "19"
"232", "235", "209", "幽玄の槭樹　～ Eternal Dream", "137", "13", "18"
"233", "218", "204", "緑のサナトリウム", "136", "6", "12"
"234", "224", "211", "妖怪モダンコロニー", "135", "6", "18"
"235", "222", "203", "小さな欲望の星空", "131", "8", "13"
"236", "214", "204", "ジャパニーズサーガ", "129", "9", "16"
"236", "238", "217", "夢と現の境界", "129", "14", "24"
"238", "236", "225", "裏切りの少女　～ Judas Kiss", "128", "9", "14"
"239", "234", "236", "ゴーストリード", "127", "3", "10"
"240", "228", "220", "デザイアドリーム", "123", "2", "14"
"241", "241", "228", "スカイルーイン", "121", "3", "12"
"242", "244", "206", "空飛ぶ巫女の不思議な毎日", "120", "14", "27"
"243", "248", "296", "オカルトアラカルト", "118", "4", "13"
"244", "233", "218", "テーマ・オブ・イースタンストーリー", "115", "13", "21"
"244", "－", "－", "Dr.レイテンシーの眠れなくなる瞳", "115", "5", "16"
"246", "237", "226", "悲しき人形　～ Doll of Misery", "112", "9", "13"
"247", "243", "245", "向こう側の月", "105", "7", "15"
"248", "244", "－", "湖は浄めの月光を映して", "104", "9", "18"
"248", "231", "216", "妖怪宇宙旅行", "104", "5", "15"
"250", "256", "233", "トロヤ群の密林", "103", "6", "9"
"250", "239", "213", "牛に引かれて善光寺参り", "103", "2", "21"
"250", "251", "240", "花映塚", "103", "4", "9"
"253", "253", "251", "封印されし神々", "99", "4", "6"
"254", "251", "245", "幻想科学（幻想機械）", "97", "3", "9"
"255", "259", "234", "踊る水飛沫", "96", "3", "10"
"255", "240", "229", "不思議な不思議な道具達", "96", "8", "16"
"255", "262", "231", "綿月のスペルカード　～ Lunatic Blue", "96", "4", "13"
"258", "254", "277", "星幽剣士（星幽天使）", "95", "9", "14"
"258", "256", "251", "禁じざるをえない遊戯", "95", "3", "13"
"260", "261", "245", "天狗が見ている　～ Black Eyes", "93", "3", "6"
"261", "256", "257", "門前の妖怪小娘", "90", "2", "6"
"262", "265", "243", "スプートニク幻夜", "89", "4", "19"
"263", "－", "－", "アウトサイダーカクテル", "88", "0", "18"
"264", "241", "－", "宇宙巫女現る", "87", "2", "11"
"264", "247", "231", "夢は時空を越えて", "87", "4", "9"
"266", "270", "277", "戦車むすめのみるゆめ", "85", "6", "8"
"267", "275", "224", "魔力の雷雲", "84", "5", "11"
"267", "286", "258", "the Last Judgement", "84", "3", "12"
"269", "249", "250", "甲論乙駁", "83", "1", "9"
"269", "279", "241", "香る樹葉花", "83", "2", "15"
"269", "279", "230", "空の帰り道　～ Sky Dream", "83", "4", "9"
"269", "244", "221", "スターヴォヤージュ2008", "83", "4", "14"
"273", "254", "234", "サニールチルフレクション", "80", "7", "8"
"274", "260", "245", "地霊達の起床", "79", "1", "10"
"275", "274", "264", "メイド幻想　～ Icemilk Magic", "77", "3", "3"
"275", "272", "254", "少女神性　～ Pandora's Box", "77", "10", "13"
"277", "263", "242", "Lotus Love", "76", "4", "11"
"278", "264", "258", "外界フォークロア", "75", "1", "12"
"279", "－", "－", "禁忌の膜壁", "74", "1", "18"
"280", "267", "307", "プレイヤーズスコア", "73", "6", "10"
"280", "281", "272", "Dim. Dream", "73", "2", "11"
"282", "267", "313", "天狗の手帖　～ Mysterious Note", "72", "6", "6"
"283", "－", "－", "旧世界の冒険酒場", "71", "3", "13"
"284", "265", "272", "反則の狼煙を上げろ", "70", "0", "6"
"284", "282", "255", "サーカスレヴァリエ（機械サーカス）", "70", "4", "19"
"286", "302", "262", "運河を行き交う人妖", "69", "4", "14"
"286", "277", "223", "マジカルストーム", "69", "3", "10"
"286", "282", "258", "シルクロードアリス", "69", "7", "20"
"289", "－", "－", "燕石博物誌が連れてきた闇", "67", "2", "17"
"290", "270", "318", "風の循環　～ Wind Tour", "65", "2", "5"
"290", "272", "270", "メイプルワイズ", "65", "3", "10"
"292", "269", "243", "夜だから眠れない", "64", "2", "12"
"293", "293", "262", "阿礼の子供", "62", "5", "8"
"293", "299", "269", "ハーセルヴズ", "62", "4", "11"
"295", "293", "285", "対蹠地の鐘", "61", "4", "11"
"295", "319", "288", "フォルスストロベリー", "61", "3", "13"
"297", "317", "272", "風の神社", "60", "6", "9"
"298", "299", "318", "欲深き霊魂", "59", "2", "11"
"298", "250", "236", "科学世紀の少年少女", "59", "7", "4"
"300", "338", "324", "月見草", "58", "2", "4"
"300", "290", "318", "戦迅", "58", "6", "9"
"302", "311", "288", "暮色蒼然", "57", "3", "3"
"302", "307", "296", "東方怪奇談", "57", "4", "12"
"304", "284", "275", "エネルギー黎明 ～ Future Dream...", "56", "1", "5"
"304", "297", "281", "青木ヶ原の伝説", "56", "4", "5"
"306", "287", "264", "妖怪寺へようこそ", "55", "1", "6"
"306", "288", "264", "Witching Dream", "55", "5", "13"
"306", "292", "313", "紅響曲　～ Scarlet Phoneme", "55", "4", "9"
"306", "325", "281", "Peaceful Romancer", "55", "6", "14"
"310", "315", "302", "End of Daylight", "53", "3", "8"
"310", "319", "288", "Dream Express", "53", "7", "8"
"310", "284", "277", "雪月桜花の国", "53", "5", "9"
"310", "293", "245", "過去の花　～ Fairy of Flower", "53", "3", "13"
"314", "327", "270", "天鳥船神社", "52", "6", "3"
"315", "332", "302", "雲外蒼天", "51", "3", "6"
"315", "314", "313", "Civilization of Magic", "51", "3", "6"
"315", "339", "307", "人形の森", "51", "5", "7"
"315", "297", "275", "宵闇の魔術師", "51", "4", "7"
"319", "291", "284", "神は恵みの雨を降らす　～ Sylphid Dream", "50", "2", "3"
"319", "303", "307", "華胥の夢", "50", "5", "5"
"321", "307", "261", "心揺さぶる都市伝説", "49", "1", "5"
"321", "299", "302", "天鳥船神社の結界", "49", "4", "12"
"321", "304", "255", "AN ORDEAL FROM GOD", "49", "2", "11"
"324", "159", "154", "アンノウンX　～ Unfound Adventure", "48", "5", "4"
"324", "304", "296", "霊戦　～ Perdition crisis", "48", "1", "5"
"326", "319", "307", "青空の影", "47", "4", "8"
"326", "277", "281", "閉ざせし雲の通い路", "47", "1", "6"
"326", "329", "264", "魔鏡", "47", "3", "10"
"326", "319", "302", "Dream Land", "47", "4", "12"
"326", "332", "330", "Dreamy pilot", "47", "6", "9"
"326", "275", "302", "夢幻回廊", "47", "5", "12"
"332", "－", "－", "須臾はプランクを超えて", "46", "4", "9"
"333", "331", "318", "魂の花　～ Another Dream...", "44", "3", "3"
"333", "315", "293", "Sailor of Time", "44", "2", "8"
"333", "289", "264", "二つの世界", "44", "4", "9"
"333", "307", "285", "蓬莱幻想　～ far East", "44", "4", "13"
"333", "293", "296", "夜の鳩山を飛ぶ", "44", "0", "5"
"338", "336", "334", "地霊達の帰宅", "43", "1", "4"
"338", "311", "251", "ミッドナイトスペルカード", "43", "0", "6"
"340", "304", "288", "巨大な影と小さな結末", "42", "3", "5"
"340", "311", "307", "ネメシスの要塞", "42", "3", "4"
"340", "339", "296", "天鵞絨少女戦　～ Velvet Battle", "42", "3", "9"
"343", "358", "307", "装飾戦　～ Decoration Battle", "40", "3", "4"
"343", "336", "285", "Magic Shop of Raspberry", "40", "2", "8"
"343", "329", "296", "フェアリー冒険譚", "40", "3", "5"
"346", "307", "288", "人形のある風景", "39", "2", "5"
"346", "376", "325", "The Positive and Negative", "39", "3", "5"
"346", "325", "293", "博麗神社境内", "39", "4", "5"
"349", "361", "325", "夢幻遊戯　～ Dream War", "36", "5", "5"
"350", "364", "376", "A Sacred Lot", "35", "3", "6"
"350", "349", "343", "昔話わんだーらんど", "35", "1", "8"
"350", "319", "322", "Maple Dream...", "35", "4", "5"
"353", "317", "331", "花の映る塚", "34", "1", "1"
"353", "327", "325", "博麗　～ Eastern Wind", "34", "2", "6"
"353", "332", "334", "非統一魔法世界論", "34", "1", "1"
"353", "364", "338", "幻想の永遠祭", "34", "1", "9"
"353", "339", "325", "宇宙に浮かぶ幻想郷", "34", "1", "4"
"358", "335", "313", "春の氷精", "32", "0", "2"
"358", "344", "331", "七玉蒐集ショウダウン", "32", "1", "5"
"358", "345", "277", "妖精燦々として", "32", "2", "5"
"361", "350", "317", "Maniacal Princess", "31", "2", "8"
"362", "339", "334", "麓の神社", "30", "1", "6"
"363", "358", "351", "ニュースハウンド", "29", "0", "6"
"363", "355", "343", "ひもろぎ、むらさきにもえ", "29", "1", "4"
"363", "355", "333", "禁断の魔法　～ Forbidden Magic", "29", "1", "1"
"363", "370", "325", "古の冥界寺", "29", "1", "3"
"367", "366", "346", "嘲りの遊戯", "28", "3", "2"
"367", "361", "363", "夢想時空", "28", "2", "7"
"369", "339", "363", "明かされる深秘", "26", "1", "3"
"369", "372", "360", "やみのちから", "26", "0", "4"
"369", "358", "338", "幻想郷　～ Lotus Land Story", "26", "1", "1"
"372", "354", "346", "空に浮かぶ物体X", "25", "1", "2"
"372", "347", "334", "公正なる奪い合い", "25", "0", "7"
"372", "346", "－", "宇宙巫女帰還する", "25", "1", "1"
"372", "366", "363", "She's in a temper!!", "25", "4", "5"
"372", "376", "351", "Phantasmagoria", "25", "3", "2"
"372", "361", "363", "真紅の少女　～ Crimson Dead!!", "25", "3", "1"
"372", "347", "357", "天空アーミー", "25", "1", "6"
"379", "372", "360", "天使伝説", "24", "2", "5"
"380", "366", "363", "スターボウドリーム", "23", "1", "5"
"380", "355", "357", "神域のかくれんぼ暮らし", "23", "1", "2"
"382", "372", "417", "破邪の小太刀", "22", "2", "3"
"383", "324", "293", "針小棒大の天守閣", "21", "0", "3"
"384", "350", "346", "オルフェの詩　～ Pseudoclassic", "20", "1", "4"
"385", "350", "351", "春風の夢", "19", "0", "1"
"385", "380", "346", "永遠の満月", "19", "2", "3"
"387", "384", "351", "此岸の塚", "18", "0", "1"
"387", "350", "322", "塵界不変のペシミズム", "18", "1", "2"
"387", "378", "338", "ディザストラスジェミニ", "18", "1", "4"
"390", "378", "388", "あゆのかぜ", "17", "1", "1"
"390", "380", "363", "珍客", "17", "2", "1"
"390", "408", "409", "世界の果て　～ World's End", "17", "1", "1"
"390", "417", "395", "アンティークテラー", "17", "1", "6"
"394", "380", "375", "小槌の魔力", "16", "1", "4"
"394", "393", "409", "幻夢界", "16", "2", "3"
"394", "384", "380", "エキストララブ", "16", "0", "4"
"394", "366", "343", "Crescent Dream", "16", "1", "1"
"394", "393", "351", "Sacred Battle", "16", "1", "7"
"399", "384", "388", "日常坐臥", "15", "1", "1"
"399", "399", "363", "暁雲", "15", "0", "1"
"399", "371", "363", "官板黄昏新聞", "15", "0", "3"
"399", "384", "351", "魔法決戦！　～ Fight it out!", "15", "0", "1"
"399", "384", "363", "カナベラルの夢幻少女", "15", "2", "4"
"404", "372", "357", "幻想郷ふしぎ発見", "14", "1", "2"
"404", "384", "417", "the Legend of KAGE", "14", "2", "2"
"404", "422", "376", "霊天　～ Spiritual Heaven", "14", "1", "3"
"407", "398", "376", "人気のある場所", "13", "1", "1"
"407", "396", "－", "神社から見える月", "13", "1", "1"
"407", "408", "395", "Highly Responsive to Prayers", "13", "0", "2"
"407", "380", "363", "Castle Explorer -in the Sky-", "13", "1", "3"
"407", "404", "395", "オルレアンの聖騎士", "13", "1", "3"
"412", "399", "360", "東方封魔録　～ 浄土曼荼羅", "12", "0", "3"
"412", "384", "363", "Selene's light", "12", "0", "1"
"412", "422", "338", "秋霜玉　～ Clockworks", "12", "2", "1"
"415", "408", "395", "Magical and Hopeless", "11", "1", "3"
"416", "408", "380", "伝説の巨神", "10", "0", "0"
"416", "404", "363", "演者選択", "10", "1", "1"
"416", "453", "427", "魔法鐘愛", "10", "1", "0"
"416", "399", "388", "時の風", "10", "0", "2"
"416", "468", "436", "プリムローズシヴァ", "10", "2", "2"
"416", "399", "380", "Magic of Life", "10", "1", "5"
"422", "396", "395", "紅夜", "9", "0", "1"
"422", "429", "417", "禍機", "9", "0", "0"
"422", "384", "388", "冷吟閑酔", "9", "0", "1"
"422", "399", "395", "妖怪寺", "9", "1", "3"
"422", "422", "409", "各々の結末", "9", "0", "1"
"422", "445", "449", "Arcadian Dream", "9", "0", "4"
"422", "393", "338", "怪綺談　～ Mystic Square", "9", "0", "1"
"422", "429", "427", "魔法陣　～ Magic Square", "9", "1", "4"
"430", "445", "417", "夏明き", "8", "0", "1"
"430", "404", "417", "以魚駆蠅", "8", "0", "0"
"430", "436", "436", "丑三つ時の里", "8", "0", "0"
"430", "429", "409", "アイリス", "8", "0", "2"
"430", "419", "395", "東方封魔録　～ 幽幻乱舞", "8", "0", "3"
"430", "445", "436", "遠野の森", "8", "0", "2"
"430", "408", "380", "華の幻想　紅夢の宙", "8", "1", "2"
